sku,unit_cogs,product_name
VV-VITA-314,3.25,Glycin Pulver 1000g
VV-VITA-316,5.92,Zimt Ceylon Extrakt BIO 120K
VV-VITA-317,6.5,L-Citrullin Plus 150K
VV-VITA-318,4.77,Knoblauch Plus 90K
VV-VITA-319,5.97,Chia Öl BIO 120K
VV-VITA-320,6.37,Veganes Collagen + Hyaluronsäure 120K
VV-VITA-326,6.56,Griffonia Plus 90K
VV-VITA-327,7.08,L-Carnitin Plus 120K
VV-VITA-329,5.69,Vitamin C liposomal 120K
VV-VITA-331,6.18,Nootropic Pro 90K
VV-VITA-333,5.08,Elektrolyte Plus 120K
VV-VITA-345,8.38,Serenity 90K
VV-VITA-336,5.07,Teufelskralle BIO 90K
VV-VITA-337,7.81,Rocket für Männer 60K
VV-VITA-338,6,Curcuma BIO 120K
VV-VITA-339,6.93,L-Tyrosin Plus 180K
VV-VITA-340,5.84,Mariendistel Plus 120K
VV-VITA-341,5.27,Vitamin B12 Tropfen 60ml
VV-VITA-342,6.62,Vitamin D3 + K2 Tropfen 60ml
VV-VITA-343,8.73,Chlorophyll Tropfen 60ml
VV-VITA-344,8.82,KSM-66 BIO 180K
VV-VITA-346,3.18,Chrom Plus 180K
VV-VITA-348,8.52,Pregnancy 60K
VV-VITA-349,4.27,Bockshornklee BIO 120K
VV-VITA-350,4.27,FenoLact 90K
VV-VITA-351,5.43,Cordyceps sinensis BIO 60K
VV-VITA-352,8.3,Omega-3 Plus ADEK 60K
VV-VITA-353,3.05,L-Tryptophan UK 120K
VV-VITA-354,7.66,Mushroom Mix BIO 90K
VV-VITA-355,8.39,L-Glutathion Complex 90K
VV-VITA-250,4.96,"UMGEBUCHT - Brahmi BIO, 180 Tabletten"
VV-VITA-356,5.29,Black Maca Plus 120K
VV-VITA-357,3.91,Taurin Plus 90K
VV-VITA-358,7.92,OPC Trio 120K
VV-VITA-247,7.1,"Nachfolgeprodukt - Astaxanthin Öl, 60 Kapseln"
VV-VITA-57-V2,8.72,Hyaluronsäure 90K
VV-VITA-359,5.78,Roter Reis Plus 120K
VV-VITA-360,4.18,Koffein 120K
VV-VITA-361,5.44,Rapunzel Haut Haare Nägel 120K
VV-VITA-362,6.53,Echinacea Plus 120K
VV-VITA-363,5.01,Apple Cider Vinegar 120K
VV-VITA-364,7.93,BIO Astaxanthin Öl 60K
VV-VITA-365,3.38,Apple Cider Vinegar 90FG
VV-VITA-366,3.42,Eisen 90FG
VV-VITA-313,4.83,"Nachfolgeprodukt - Boswellia Extrakt, 120 Kapseln"
VV-VITA-367,5.35,Creatin Monohydrat Pulver 500G
VV-VITA-368,5.35,L-Glutamin Pulver 500G
VV-VITA-369,5.22,Glucomannan BIO 90K
VV-VITA-370,5.01,Magnesium Bisglycinat 180K
VV-VITA-371,4.76,Nattokinase 180K
VV-VITA-372,12.78,Vitamin D3 + K2 Depot 60K
VV-VITA-331,6.18,"Nachfolgeprodukt - Nootropic Pro, 90 Kapseln"
VV-VITA-373,3.81,Keto Power 60K
VV-VITA-374,5.36,Psyllium BIO 400g
VV-VITA-375,4.81,Strong Bones Kalzium Magnesium 180T
VV-VITA-337,7.79,"Nachfolgeprodukt - Rocket, 60 Kapseln"
VV-VITA-376,4.84,Griffonia 90K
VV-VITA-377,4.05,Cholin Bitartrat 120 K
VV-VITA-378,3.81,Brewers Yeast 120 K
VV-VITA-379,4.87,Glucosamin Plus 120 K
VV-VITA-380,2.87,Party Hero 60 T
VV-VITA-381,3.42,Myo-Inositol Pulver 200g
VV-VITA-382,5.08,Taurin Pulver 1000g
VV-VITA-346,3.18,"UMGEBUCHT Chrom Plus, 90 Kapseln"
VV-VITA-369,5.22,"UMGEBUCHT - Glucomannan BIO, 90 Kapseln"
VV-VITA-383,5.12,Vitamin K2 180 T
VV-VITA-384,3.65,Beta-Alanin Pulver 500g
VV-VITA-284,7.63,"UMGEBUCHT - Chaga BIO, 120 Kapseln"
VV-VITA-385,6.27,Nachtkerzen Öl 120K
VV-VITA-386,9.2,Femme Biotics Bakterienkulturen 60K
VV-VITA-387,11.01,Youth Biotics Bakterienkulturen 60K
VV-VITA-388,1.67,Glycin Pulver 300g
VV-VITA-389,9.81,Prosta-X 180K
VV-VITA-142,8.82,"UMGEBUCHT - Prostaid Complex, 180 Kapseln"
VV-VITA-39,5.89,"Nachfolgeprodukt - D-Mannose Complex, 120 Kapseln"
