campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Magnesio Bisglicinato;649159286;3.3.2026;cpc;1,31;;70;0;0;0;0;0;0;upmX4LT4H;4260557423257;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Complex;625786532;3.3.2026;cpc;1,01;;70;5;7,142857;0;5,05;0;0;upm7PGM77;4260557421765;1,01
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Olio di Semi di Chia;641627926;3.3.2026;cpc;0,51;;70;1;1,449275;0;0,51;0;0;upmK7YWLD;4260557422649;0,51
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Saw palmetto + Pygeum africanum;658280115;3.3.2026;cpc;0,51;;74;0;0;0;0;0;0;upmMPKDE7;4260557422311;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 gocce;641629767;3.3.2026;cpc;0,51;;68;2;2,941176;0;1,02;0;0;upmYRCT9P;4260557422908;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Light Legs Complex;658381501;3.3.2026;cpc;0,51;;67;7;10,447761;0;3,57;0;0;upmD7EWMP;4260557420454;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin;620501440;3.3.2026;cpc;1,01;;68;1;1,492537;0;1,01;0;0;14250551;4260309484208;1,01
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Colla-Veg Complex;658445113;3.3.2026;cpc;1,01;;66;3;4,545455;0;3,03;0;0;14250775;4260309483089;1,01
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Curcuma BIO;649142586;3.3.2026;cpc;0,31;;66;0;0;0;0;0;0;upm27X4XW;4260557422878;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Spirulina BIO;649076744;3.3.2026;cpc;0,31;;66;2;3,030303;0;0,62;0;0;upmDHLCKL;4260557420560;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Folato;649111206;3.3.2026;cpc;0,31;;65;0;0;0;0;0;0;upmZR3PP7;4260557422496;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Ferro;658331759;3.3.2026;cpc;0,31;;65;0;0;0;0;0;0;14250692;4260309483065;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Hericium BIO;649077203;3.3.2026;cpc;0,31;;64;0;0;0;0;0;0;upmMERCUR;4260557420881;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Pulver;658295460;3.3.2026;cpc;1,01;;64;4;6,349206;0;4,04;0;0;upmX777MU;4260557423363;1,01
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Drenaflux Complex;643094174;3.3.2026;cpc;0,31;;63;0;0;0;0;0;0;upm2XGYDU;4260557422489;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Colla-Veg Complex;658445117;3.3.2026;cpc;0,31;;63;0;0;0;0;0;0;14250775;4260309483089;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Sun Care Complex;658280012;3.3.2026;cpc;0,31;;63;0;0;0;0;0;0;upm7C9XR2;4260557420836;0
