campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Omega-3 ?l;625779008;7.5.2026;cpc;1,71;;95;2;2,105263;0;3,42;0;0;upm9KDWAZ;4260557421383;1,71
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Natural Jod BIO;619661620;7.5.2026;cpc;0,51;;94;2;2,12766;0;1,02;0;0;14250769;4260557420256;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Serenity Complex;641646664;7.5.2026;cpc;0,51;;89;1;1,123596;0;0,51;0;0;upmZFGPHR;4260557422830;0,51
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Betacarotene Plus;641622772;7.5.2026;cpc;0,51;;88;1;1,136364;0;0,51;0;0;upmGPMUEM;4260557422427;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Magnesio Complex;649091773;7.5.2026;cpc;0,31;;107;0;0;0;0;0;0;upmUZUHTT;4260557421888;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;629496626;7.5.2026;cpc;1,21;;84;0;0;0;0;0;0;upmUX2FW3;4260557420638;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Light Legs Complex;658381503;7.5.2026;cpc;0,31;;90;0;0;0;0;0;0;upmD7EWMP;4260557420454;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Rhodiola rosea Extrakt;643082833;7.5.2026;cpc;0,31;;90;2;2,439024;0;0,62;0;0;14251036;4260557420102;0,31
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Collagene Vegano + Acido Ialuronico;658334348;7.5.2026;cpc;1,21;;78;2;2,564103;0;2,42;0;0;upmK3CG99;4260557422656;1,21
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vegan Essentials Complex;627592060;7.5.2026;cpc;0,51;;76;1;1,315789;0;0,51;0;0;upmHHT433;4260557421390;0,51
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3+K2 Tropfen;658280177;7.5.2026;cpc;1,41;;87;3;3,947368;0;4,23;0;0;upmKAXT9Y;4260557422915;1,41
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cordyceps;658334303;7.5.2026;cpc;0,31;;78;0;0;0;0;0;0;14250611;4260309483218;0
