campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Harmony Complex;658279991;3.5.2026;cpc;0,51;;20;2;10;0;1,02;0;0;upmUFEEWW;4260557420300;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO MSM Pulver DOSE;619660893;3.5.2026;cpc;1,01;;19;0;0;0;0;0;0;upmTLUPGT;4260309483881;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Echinacea Plus;620564961;3.5.2026;cpc;0,51;;19;0;0;0;0;0;0;upmPHKX9F;4260557423141;0
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO MSM 670mg;620609039;3.5.2026;cpc;0,51;;19;0;0;0;0;0;0;14250924;4260309484130;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Eisen Bisglycinat;643077960;3.5.2026;cpc;0,31;;22;0;0;0;0;0;0;14250692;4260309483065;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Guggul;641655761;3.5.2026;cpc;0,51;;19;1;5,263158;0;0,51;0;0;upmT99EZK;4260557421123;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Lecithin BIO;620605162;3.5.2026;cpc;0,81;;19;0;0;0;0;0;0;upm2HFKPC;4260557422021;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina C Naturale BIO;649076562;3.5.2026;cpc;1,31;;27;1;5,263158;0;1,31;0;0;upmFY9KW9;4260557420331;1,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Colon Care Complex;658353192;3.5.2026;cpc;0,31;;20;1;5,263158;0;0,31;0;0;14250605;4260557420201;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Betacarotene;653864224;3.5.2026;cpc;0,51;;19;2;10,526316;0;1,02;0;0;14250551;4260309484208;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Leinsamen?l BIO;629497213;3.5.2026;cpc;0,51;1;19;1;5,263158;100;0,51;22,9;4490,196078;upmKU4FAU;4260557422038;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Origano BIO;649094039;3.5.2026;cpc;0,31;;22;0;0;0;0;0;0;upmYCXAL7;4260557421932;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Rosskastanie Plus BIO;658295840;3.5.2026;cpc;1,21;;18;1;5,555556;0;1,21;0;0;upmUR4ZK4;4260557421239;1,21
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Guggul;649077297;3.5.2026;cpc;0,31;;18;0;0;0;0;0;0;upmT99EZK;4260557421123;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Griffonia;658296092;3.5.2026;cpc;0,31;;22;0;0;0;0;0;0;upmG7RZLC;4260557423318;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO OPC Trio;626443283;3.5.2026;cpc;0,51;;18;0;0;0;0;0;0;upmWFGGMG;4260557423097;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Youth Biotics;658445045;3.5.2026;cpc;1,01;;18;0;0;0;0;0;0;upmW7Y7DL;4260557423462;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cannella Ceylon BIO;649115454;3.5.2026;cpc;0,31;;19;1;5,555556;0;0,31;0;0;upmW9KKTG;4260557422618;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cholin Trio;643092529;3.5.2026;cpc;0,31;;26;1;5,555556;0;0,31;0;0;upm97PFY9;4260557421826;0,31
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Sugar Balance Complex;658280124;3.5.2026;cpc;0,51;;18;0;0;0;0;0;0;upmAD4HK4;4260557422403;0
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Pro Bio Kids BIO;658279986;3.5.2026;cpc;0,31;;18;1;5,555556;0;0,31;0;0;14250953;4260557420249;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Triptofano;658352472;3.5.2026;cpc;0,51;;18;0;0;0;0;0;0;14250841;4260309481108;0
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO MSM 670mg;643055483;3.5.2026;cpc;0,61;;18;0;0;0;0;0;0;14250924;4260309484130;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vegan Essentials Complex;641622696;3.5.2026;cpc;0,51;;18;1;5,555556;0;0,51;0;0;upmHHT433;4260557421390;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Astaxantina BIO;620574573;3.5.2026;cpc;0,71;;17;1;5,882353;0;0,71;0;0;upm7GZX42;4260557423165;0,71
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle Plus;619697372;3.5.2026;cpc;0,51;1;17;2;11,764706;50;1,02;19,9;1950,980392;upmD3U322;4260557421192;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Olio di Semi di Chia;649117677;3.5.2026;cpc;0,31;;19;0;0;0;0;0;0;upmK7YWLD;4260557422649;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;658280106;3.5.2026;cpc;1,41;;20;0;0;0;0;0;0;upmKY422A;4260557422212;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Glucosamin Complex;658280006;3.5.2026;cpc;0,31;;22;0;0;0;0;0;0;upmTYL3Y7;4260557420737;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Nachtkerzen und Borretsch?l BIO;658295856;3.5.2026;cpc;0,31;;18;0;0;0;0;0;0;upm7KTFPH;4260557421420;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Spray Junior;625789014;3.5.2026;cpc;0,51;;17;0;0;0;0;0;0;upm3RXHUC;4260557422229;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Hagebutte BIO;619682810;3.5.2026;cpc;0,51;;18;0;0;0;0;0;0;upmWRWWCG;4260557421048;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Betacarotene Plus;641622772;3.5.2026;cpc;0,51;;17;2;11,764706;0;1,02;0;0;upmGPMUEM;4260557422427;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Nachtkerzen und Borretsch?l BIO;619715142;3.5.2026;cpc;0,51;;17;0;0;0;0;0;0;upm7KTFPH;4260557421420;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO EAA - Aminoacidi Essenziali;649077110;3.5.2026;cpc;1,11;;22;0;0;0;0;0;0;upmGMXXY9;4260557420744;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Ginseng Rosso Coreano;649076431;3.5.2026;cpc;0,31;;24;0;0;0;0;0;0;upm2CZXC9;4260557420140;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Zimt Extrakt BIO;658280146;3.5.2026;cpc;0,31;;18;0;0;0;0;0;0;upmW9KKTG;4260557422618;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Spray Junior;658280108;3.5.2026;cpc;0,31;;19;0;0;0;0;0;0;upm3RXHUC;4260557422229;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Magnesium + Kalium;658279990;3.5.2026;cpc;0,31;;20;0;0;0;0;0;0;upm32MART;4260557420287;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Riso Rosso Plus;649150541;3.5.2026;cpc;0,31;;19;0;0;0;0;0;0;upmDFWTTT;4260557423110;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO MSM Pulver;643233362;3.5.2026;cpc;0,61;;20;0;0;0;0;0;0;upmWCKTTE;4260309481214;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Tribulus Terrestris;658296416;3.5.2026;cpc;0,31;;20;0;0;0;0;0;0;14251088;4260309481313;0
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vegan Collagen+Hyaluronic Acid;658347624;3.5.2026;cpc;1,21;;19;0;0;0;0;0;0;upmK3CG99;4260557422656;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Bockshornklee BIO;620539867;3.5.2026;cpc;0,51;;17;0;0;0;0;0;0;upm7AL3PG;4260557422977;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Zimt-Ceylon Extrakt;625767691;3.5.2026;cpc;0,51;;18;1;6,25;0;0,51;0;0;14251208;4260557420164;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Sugar Balance Complex;652861490;3.5.2026;cpc;0,31;;18;0;0;0;0;0;0;upmAD4HK4;4260557422403;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cardo Mariano Plus;649143954;3.5.2026;cpc;0,31;;22;0;0;0;0;0;0;upmR9H2HU;4260557422892;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Zimt-Ceylon Extrakt;619660976;3.5.2026;cpc;0,51;;16;1;6,25;0;0,51;0;0;14251208;4260557420164;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Tryptophan;643237471;3.5.2026;cpc;0,31;;19;0;0;0;0;0;0;14250841;4260309481108;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Zimt-Ceylon Extrakt;658279983;3.5.2026;cpc;0,31;;17;0;0;0;0;0;0;14251208;4260557420164;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Echinacea Plus;620565882;3.5.2026;cpc;1,01;;16;1;6,25;0;1,01;0;0;upmPHKX9F;4260557423141;1,01
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO OPC Trio;658282816;3.5.2026;cpc;0,31;;18;1;6,25;0;0,31;0;0;upmWFGGMG;4260557423097;0,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Rapunzel;658295813;3.5.2026;cpc;0,51;;16;0;0;0;0;0;0;upmDUFHFK;4260557423134;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Multivitamin Spray Junior;658280046;3.5.2026;cpc;0,31;;16;0;0;0;0;0;0;upm9ZTF3H;4260557421178;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Prostaid Complex;658727263;3.5.2026;cpc;1,31;;19;0;0;0;0;0;0;upmCEE43U;4260557420515;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Bromelain 2400 GDU/g;619684531;3.5.2026;cpc;0,51;;15;0;0;0;0;0;0;upm43HM34;4260557421130;0
