campaign;campaignId;date;purchase;impressions;clicks;ctr;cvr;budgetSpend;gmv;roas;productId;ean;cpc
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Lievito di Birra;658296221;15.11.2025;;33;0;0;0;0;0;0;upmKUKGHH;4260557423332;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Leinsamen?l BIO;643093628;15.11.2025;;33;0;0;0;0;0;0;upmKU4FAU;4260557422038;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Glicina in Polvere;658334363;15.11.2025;;33;0;0;0;0;0;0;upmR9H4DE;4260557422595;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Johanniskraut mit Passionsblume BIO;658280044;15.11.2025;;33;3;9,090909;0;1,53;0;0;upmYMX3D7;4260557421147;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;643233715;15.11.2025;;33;1;3,030303;0;0,31;0;0;upmE39PTR;4260557422113;0,31
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Multi Magnesium Complex;658280069;15.11.2025;;33;1;3,030303;0;0,31;0;0;upmUZUHTT;4260557421888;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Digestive Enzymes;652865450;15.11.2025;;33;0;0;0;0;0;0;upmP3AFZZ;4260557422533;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Astragalo BIO;649084562;15.11.2025;;33;0;0;0;0;0;0;upmCGKMCH;4260557421222;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vegan Collagen+Hyaluronic Acid;658347591;15.11.2025;;33;0;0;0;0;0;0;upmK3CG99;4260557422656;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Tryptophan;625767437;15.11.2025;;33;0;0;0;0;0;0;14250841;4260309481108;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Roter Reis Plus;626443344;15.11.2025;;33;4;12,121212;0;2,04;0;0;upmDFWTTT;4260557423110;0,51
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Bromelina;620571075;15.11.2025;;33;0;0;0;0;0;0;upm43HM34;4260557421130;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Artiglio del Diavolo BIO;620572722;15.11.2025;;33;0;0;0;0;0;0;upmDZU3ZG;4260557422854;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B3 (Nicotinamid);643089676;15.11.2025;1;33;0;0;3,030303;0;22,9;0;upmUEXHE2;4260557420850;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Tryptophan;643237471;15.11.2025;;32;0;0;0;0;0;0;14250841;4260309481108;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Glucosamin Complex;620608017;15.11.2025;;32;0;0;0;0;0;0;upmTYL3Y7;4260557420737;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO D-Mannose Complex;620609091;15.11.2025;;32;0;0;0;0;0;0;14250640;4260309482747;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Reishi;658296413;15.11.2025;;32;0;0;0;0;0;0;14251013;4260309481665;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin Plus ?l;620501456;15.11.2025;;32;0;0;0;0;0;0;upmGPMUEM;4260557422427;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Nachtkerzen und Borretsch?l BIO;643092372;15.11.2025;;32;0;0;0;0;0;0;upm7KTFPH;4260557421420;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Tyrosin Plus;626440758;15.11.2025;;31;1;3,225806;0;0,51;0;0;upm2FC2LC;4260557422885;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Probiotici e Prebiotici Bambini;658445102;15.11.2025;;31;0;0;0;0;0;0;14250953;4260557420249;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Rhodiola rosea Extrakt;658279979;15.11.2025;;31;1;3,225806;0;0,31;0;0;14251036;4260557420102;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO MSM Pulver;643233362;15.11.2025;;31;0;0;0;0;0;0;upmWCKTTE;4260309481214;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Leinsamen?l BIO;629497213;15.11.2025;;31;0;0;0;0;0;0;upmKU4FAU;4260557422038;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Light Legs Complex;658381501;15.11.2025;;31;0;0;0;0;0;0;upmD7EWMP;4260557420454;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Nachtkerzen ?l;658283039;15.11.2025;;31;0;0;0;0;0;0;upm7DM474;4260557423448;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Rhodiola Rosea;658445094;15.11.2025;;31;0;0;0;0;0;0;14251036;4260557420102;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Gaba Plus;618496730;15.11.2025;;31;2;6,451613;0;2,02;0;0;upmF2EMKH;4260557421185;1,01
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Enotera;658296335;15.11.2025;;30;0;0;0;0;0;0;upm7DM474;4260557423448;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Citrullin Plus;658280147;15.11.2025;;30;0;0;0;0;0;0;upmTF7MFK;4260557422625;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Acido Ialuronico;649164412;15.11.2025;;30;0;0;0;0;0;0;upmKMAH3F;4260557420539;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Citrullin Malat Pulver;658469901;15.11.2025;;30;2;6,666667;0;0,62;0;0;upm7K39U2;4260557423493;0,31
