campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Zimt-Ceylon Extrakt;658279983;3.6.2026;cpc;0,31;;2;0;0;0;0;0;0;14251208;4260557420164;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Shilajit Mumijo;643092358;3.6.2026;cpc;0,31;;2;0;0;0;0;0;0;upmR33A3P;4260557421406;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO OPC Trio;643136197;3.6.2026;cpc;0,31;;2;0;0;0;0;0;0;upmWFGGMG;4260557423097;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO NAC;658280139;3.6.2026;cpc;0,31;;2;0;0;0;0;0;0;upmMWPTCY;4260557422564;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B3 (Nicotinamid);643089676;3.6.2026;cpc;0,51;;4;0;0;0;0;0;0;upmUEXHE2;4260557420850;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Cysti-Aid Complex;641622752;3.6.2026;cpc;0,51;;2;2;100;0;1,02;0;0;upmTZFCGA;4260557422199;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Bockshornklee BIO;643134873;3.6.2026;cpc;0,31;;3;0;0;0;0;0;0;upm7AL3PG;4260557422977;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Ippocastano BIO Plus;649084572;3.6.2026;cpc;0,31;;6;0;0;0;0;0;0;upmUR4ZK4;4260557421239;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Chrom Plus;626442427;3.6.2026;cpc;0,51;;2;0;0;0;0;0;0;upmL7ZDD2;4260557422946;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Zenzero BIO;658353196;3.6.2026;cpc;0,51;;2;0;0;0;0;0;0;upmPX4TPU;4260557420386;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Party Hero;658331705;3.6.2026;cpc;0,31;;4;0;0;0;0;0;0;upmFACEA7;4260557423356;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO OPC Trio;658282816;3.6.2026;cpc;0,31;;2;0;0;0;0;0;0;upmWFGGMG;4260557423097;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Beta-Alanin Pulver;658295770;3.6.2026;cpc;0,31;;3;0;0;0;0;0;0;upmFKHFRA;4260557423431;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B Plus;619721747;3.6.2026;cpc;0,51;;2;0;0;0;0;0;0;14251094;4260309482754;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Apple Cider Vinegar;626443800;3.6.2026;cpc;0,51;;2;0;0;0;0;0;0;upmUTDZP9;4260557423158;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Boswellia;649114805;3.6.2026;cpc;0,51;;2;0;0;0;0;0;0;upmEH2K74;4260557422588;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3 und K2 ?l;658280064;3.6.2026;cpc;1,31;;2;0;0;0;0;0;0;upm7FHKKZ;4260557421437;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Harmony Complex;658279991;3.6.2026;cpc;0,51;;2;2;100;0;1,02;0;0;upmUFEEWW;4260557420300;0,51
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin C liposomal;658280156;3.6.2026;cpc;0,31;;2;0;0;0;0;0;0;upm77WEEP;4260557422786;0
