campaign;campaignId;date;conversions;impressions;clicks;ctr;cvr;budgetSpend;gmv;roas;productId;ean;cpc
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Gaba Plus;653499916;8.12.2025;;83;3;3,614458;0;0,91;0;0;upmF2EMKH;4260557421185;0,303333
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Hagebutte BIO;643089764;8.12.2025;;83;1;1,204819;0;0,31;0;0;upmWRWWCG;4260557421048;0,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Pro Bio Kids BIO;618496726;8.12.2025;;82;1;1,219512;0;0,3;0;0;14250953;4260557420249;0,3
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Berberin + Schwarzer Knoblauch;658347580;8.12.2025;;82;1;1,219512;0;0,3;0;0;upmC4GHAR;4260557421758;0,3
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Probiotici e Prebiotici Bambini;658445101;8.12.2025;;82;0;0;0;0;0;0;14250953;4260557420249;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Glucosamin Plus;658347224;8.12.2025;;80;2;2,5;0;0,62;0;0;upmKWW3MD;4260557423349;0,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle Plus;619697372;8.12.2025;1;79;4;5,063291;1,265823;1,840965;19,9;1080,954825;upmD3U322;4260557421192;0,460241
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Magnesio Complex;649091773;8.12.2025;;78;1;1,282051;0;0,31;0;0;upmUZUHTT;4260557421888;0,31
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Berberin + Schwarzer Knoblauch;658347608;8.12.2025;;77;1;1,298701;0;0,31;0;0;upmC4GHAR;4260557421758;0,31
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO ZMA (Zink + Magnesium + Vitamin B6);620595473;8.12.2025;;76;0;0;0;0;0;0;upmRXLDAR;4260557422465;0
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Multi Magnesium Complex;643092855;8.12.2025;;76;1;1,315789;0;0,3;0;0;upmUZUHTT;4260557421888;0,3
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Johanniskraut mit Passionsblume BIO;658280045;8.12.2025;;75;1;1,333333;0;0,31;0;0;upmYMX3D7;4260557421147;0,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Omega-3 + ADEK ?l;620542953;8.12.2025;;75;2;2,666667;0;1,02;0;0;upmH3T374;4260557423004;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO ZMA (Zink + Magnesium + Vitamin B6);643094148;8.12.2025;;74;0;0;0;0;0;0;upmRXLDAR;4260557422465;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Youth Biotics;658445086;8.12.2025;;74;1;1,351351;0;1,01;0;0;upmW7Y7DL;4260557423462;1,01
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO D Mannosio in Polvere;658352460;8.12.2025;;72;4;5,555556;0;6,04;0;0;14250686;4260309481603;1,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Ferro;641650716;8.12.2025;;72;2;2,777778;0;1,02;0;0;upmGAZP3H;4260557423189;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658381499;8.12.2025;;71;0;0;0;0;0;0;upmUX2FW3;4260557420638;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle Plus;620605271;8.12.2025;;71;5;7,042254;0;2,55;0;0;upmD3U322;4260557421192;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Glucosamin Complex;620608017;8.12.2025;;70;0;0;0;0;0;0;upmTYL3Y7;4260557420737;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle BIO;643130229;8.12.2025;2;70;2;2,857143;2,857143;0,62;43,8;7064,516129;upmDZU3ZG;4260557422854;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Cysti-Aid Complex;641622752;8.12.2025;;70;1;1,428571;0;0,51;0;0;upmTZFCGA;4260557422199;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Beifu? Extrakt;643093976;8.12.2025;;69;0;0;0;0;0;0;upmWMGCRY;4260557422090;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Berberin + Schwarzer Knoblauch;658347579;8.12.2025;;69;1;1,449275;0;0,51;0;0;upmC4GHAR;4260557421758;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO D Mannosio in Polvere;658352462;8.12.2025;;69;0;0;0;0;0;0;14250686;4260309481603;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Citrullin Plus;643125971;8.12.2025;;69;2;2,898551;0;0,62;0;0;upmTF7MFK;4260557422625;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Glucosamin Complex;649076940;8.12.2025;;69;0;0;0;0;0;0;upmTYL3Y7;4260557420737;0
