campaign;campaignId;date;purchase;impressions;clicks;ctr;cvr;budgetSpend;gmv;roas;productId;ean;cpc
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Lecithin BIO;652876638;16.10.2025;1;44;6;13,636364;2,272727;6,06;26,9;443,894389;upm2HFKPC;4260557422021;1,01
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Sugar Balance Complex;652861490;16.10.2025;;44;0;0;0;0;0;0;upmAD4HK4;4260557422403;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Betacarotene Plus;649106236;16.10.2025;;44;0;0;0;0;0;0;upmGPMUEM;4260557422427;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO OPC Trio;649150121;16.10.2025;;44;0;0;0;0;0;0;upmWFGGMG;4260557423097;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Taurina;658296231;16.10.2025;;43;0;0;0;0;0;0;upmHULHZD;4260557423370;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO NAC;658280139;16.10.2025;;43;1;2,325581;0;0,31;0;0;upmMWPTCY;4260557422564;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Glicina in Polvere;658296353;16.10.2025;;43;0;0;0;0;0;0;upmTGWG29;4260557423479;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Serenity;658295817;16.10.2025;;43;0;0;0;0;0;0;upmZFGPHR;4260557422830;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Johanniskraut mit Passionsblume BIO;643089842;16.10.2025;;43;0;0;0;0;0;0;upmYMX3D7;4260557421147;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Schwarzer Knoblauch;658279982;16.10.2025;;43;1;2,325581;0;0,31;0;0;14251059;4260557420157;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;641620457;16.10.2025;;43;1;2,325581;0;0,51;0;0;upmE39PTR;4260557422113;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Omega-3 ?l;643091125;16.10.2025;;42;0;0;0;0;0;0;upm9KDWAZ;4260557421383;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cumino Nero BIO;658352478;16.10.2025;;42;0;0;0;0;0;0;upmEUZ9F7;4260557421376;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Black Maca Plus;643135686;16.10.2025;;42;0;0;0;0;0;0;upmG4PKUG;4260557423042;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositolo in Polvere;658296223;16.10.2025;;42;1;2,380952;0;1,01;0;0;upmX777MU;4260557423363;1,01
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Bockshornklee BIO;643134873;16.10.2025;;41;3;7,317073;0;0,93;0;0;upm7AL3PG;4260557422977;0,31
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Lecitina BIO;649100827;16.10.2025;;41;2;4,878049;0;0,62;0;0;upm2HFKPC;4260557422021;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Citrullin Malat Pulver;658469901;16.10.2025;;41;0;0;0;0;0;0;upm7K39U2;4260557423493;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Party Hero;658331705;16.10.2025;;41;0;0;0;0;0;0;upmFACEA7;4260557423356;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Zafferano;620566163;16.10.2025;;41;2;4,878049;0;2,02;0;0;upm7PELE9;4260557420362;1,01
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Tirosina Plus;649142984;16.10.2025;;40;1;2,5;0;0,51;0;0;upm2FC2LC;4260557422885;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Papaya BIO;649077206;16.10.2025;;40;0;0;0;0;0;0;upm9HWLUD;4260557421055;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Gaba Plus;658280049;16.10.2025;;40;0;0;0;0;0;0;upmF2EMKH;4260557421185;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Spray Junior;658280108;16.10.2025;;39;0;0;0;0;0;0;upm3RXHUC;4260557422229;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Serenity Complex;649145562;16.10.2025;;39;1;2,564103;0;0,31;0;0;upmZFGPHR;4260557422830;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Roter Reis Plus;643136807;16.10.2025;;39;0;0;0;0;0;0;upmDFWTTT;4260557423110;0
