campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO D-Mannose Pulver;643235044;24.2.2026;cpc;0,31;;17;0;0;0;0;0;0;14250686;4260309481603;0
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Taurin Plus;643136001;24.2.2026;cpc;0,31;;17;0;0;0;0;0;0;upmXXW9XA;4260557423059;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Ginkgo + Ginseng;620565878;24.2.2026;cpc;0,51;;17;1;5,882353;0;0,51;0;0;upmF3XUHA;4260557422106;0,51
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Artiglio del Diavolo BIO;620572722;24.2.2026;cpc;0,51;;17;0;0;0;0;0;0;upmDZU3ZG;4260557422854;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Shiitake Extrakt;658280087;24.2.2026;cpc;0,31;;17;0;0;0;0;0;0;upmZ7P4AX;4260557421970;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Artischocke BIO;625777974;24.2.2026;cpc;0,51;;16;0;0;0;0;0;0;upmUTCWKM;4260557421215;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Ippocastano BIO Plus;620572890;24.2.2026;cpc;0,51;;16;0;0;0;0;0;0;upmUR4ZK4;4260557421239;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Origano BIO;641622706;24.2.2026;cpc;0,51;;16;1;6,25;0;0,51;0;0;upmYCXAL7;4260557421932;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Leinsamen?l BIO;643093628;24.2.2026;cpc;0,31;;16;0;0;0;0;0;0;upmKU4FAU;4260557422038;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Koffein;626443345;24.2.2026;cpc;0,51;;16;0;0;0;0;0;0;upm4XZRWY;4260557423127;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Echinacea Plus;643137759;24.2.2026;cpc;0,31;;16;2;12,5;0;0,62;0;0;upmPHKX9F;4260557423141;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Acido Ialuronico;649164301;24.2.2026;cpc;0,31;;16;0;0;0;0;0;0;upmPMLEP9;4260557423103;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Colon Care Complex;643084949;24.2.2026;cpc;0,31;;16;0;0;0;0;0;0;14250605;4260557420201;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Betacarotene;653866107;24.2.2026;cpc;0,31;;16;1;6,25;0;0,31;0;0;14250551;4260309484208;0,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Schwarzk?mmel?l BIO;658295946;24.2.2026;cpc;0,71;;16;0;0;0;0;0;0;upmEUZ9F7;4260557421376;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Party Hero;653854277;24.2.2026;cpc;0,51;;16;0;0;0;0;0;0;upmFACEA7;4260557423356;0
